season,primary_team,compared_against_team,stat_bin,difference,absolute_difference
2017,Michigan,Wisconsin,(28 | 30],-0.004430168,0.004430168
2017,Michigan,Wisconsin,(26 | 28],-0.003921569,0.003921569
2017,Michigan,Wisconsin,(40 | 42],-0.003921569,0.003921569
2017,Michigan,Wisconsin,(-8 | -6],0.003412969,0.003412969
2017,Michigan,Wisconsin,(34 | 36],0.003412969,0.003412969
2017,Michigan,Wisconsin,(46 | 48],0.003412969,0.003412969
2017,Michigan,Wisconsin,(76 | 78],0.003412969,0.003412969
2017,Michigan,Wisconsin,(-2 | 0],-0.002549689,0.002549689
2017,Michigan,Wisconsin,(18 | 20],-0.002469384,0.002469384
2017,Michigan,Wisconsin,(22 | 24],-0.002469384,0.002469384
2017,Michigan,Wisconsin,(44 | 46],-0.001960784,0.001960784
2017,Michigan,Wisconsin,(50 | 52],-0.001960784,0.001960784
2017,Michigan,Wisconsin,(52 | 54],-0.001960784,0.001960784
2017,Michigan,Wisconsin,(62 | 64],-0.001960784,0.001960784
2017,Michigan,Wisconsin,(74 | 76],-0.001960784,0.001960784
2017,Michigan,Wisconsin,(30 | 32],0.001452185,0.001452185
2017,Michigan,Wisconsin,(66 | 68],0.001452185,0.001452185
2017,Michigan,Wisconsin,(12 | 14],-0.001090811,0.001090811
2017,Michigan,Wisconsin,(20 | 22],-0.0005086,0.0005086
2017,Michigan,Wisconsin,(24 | 26],-0.0005086,0.0005086
2017,Michigan,Wisconsin,(-22 | -20],0,0
2017,Michigan,Wisconsin,(-20 | -18],0,0
2017,Michigan,Wisconsin,(-18 | -16],0,0
2017,Michigan,Wisconsin,(-16 | -14],0,0
2017,Michigan,Wisconsin,(-14 | -12],0,0
2017,Michigan,Wisconsin,(-12 | -10],0,0
2017,Michigan,Wisconsin,(-10 | -8],0,0
2017,Michigan,Wisconsin,(32 | 34],0,0
2017,Michigan,Wisconsin,(36 | 38],0,0
2017,Michigan,Wisconsin,(38 | 40],0,0
2017,Michigan,Wisconsin,(42 | 44],0,0
2017,Michigan,Wisconsin,(54 | 56],0,0
2017,Michigan,Wisconsin,(56 | 58],0,0
2017,Michigan,Wisconsin,(60 | 62],0,0
2017,Michigan,Wisconsin,(64 | 66],0,0
2017,Michigan,Wisconsin,(68 | 70],0,0
2017,Michigan,Wisconsin,(70 | 72],0,0
2017,Michigan,Wisconsin,(72 | 74],0,0
2017,Michigan,Wisconsin,(78 | 80],0,0
2017,Michigan,Wisconsin,(80 | 82],0,0
2017,Michigan,Wisconsin,(82 | 84],0,0
2017,Michigan,Wisconsin,(84 | 86],0,0
2017,Michigan,Wisconsin,(86 | 88],0,0
2017,Michigan,Wisconsin,(88 | 90],0,0
2017,Michigan,Wisconsin,(90 | 92],0,0
2017,Michigan,Wisconsin,(92 | 94],0,0
2017,Michigan,Wisconsin,(94 | 96],0,0
2017,Michigan,Wisconsin,(96 | 98],0,0
2017,Michigan State,Iowa,(2 | 4],0.075093656,0.075093656
2017,Michigan State,Iowa,(-2 | 0],0.054163142,0.054163142
2017,Michigan State,Iowa,(-4 | -2],-0.031476335,0.031476335
2017,Michigan State,Iowa,(0 | 2],-0.029583082,0.029583082
2017,Michigan State,Iowa,(4 | 6],-0.027778449,0.027778449
2017,Michigan State,Iowa,(10 | 12],-0.027560927,0.027560927
2017,Michigan State,Iowa,(28 | 30],-0.008,0.008
2017,Michigan State,Iowa,(18 | 20],-0.007291037,0.007291037
2017,Michigan State,Iowa,(12 | 14],0.006751259,0.006751259
2017,Michigan State,Iowa,(16 | 18],0.006396777,0.006396777
2017,Michigan State,Iowa,(34 | 36],-0.005333333,0.005333333
2017,Michigan State,Iowa,(6 | 8],-0.004286002,0.004286002
2017,Michigan State,Iowa,(14 | 16],0.003730111,0.003730111
2017,Michigan State,Iowa,(42 | 44],0.003021148,0.003021148
2017,Michigan State,Iowa,(48 | 50],0.003021148,0.003021148
2017,Michigan State,Iowa,(24 | 26],-0.002666667,0.002666667
2017,Michigan State,Iowa,(52 | 54],-0.002666667,0.002666667
2017,Michigan State,Iowa,(56 | 58],-0.002666667,0.002666667
2017,Michigan State,Iowa,(20 | 22],-0.002312185,0.002312185
2017,Michigan State,Iowa,(-6 | -4],-0.001957704,0.001957704
2017,Michigan State,Iowa,(22 | 24],0.000708963,0.000708963
2017,Michigan State,Iowa,(32 | 34],0.000354481,0.000354481
2017,Michigan State,Iowa,(8 | 10],0.000338369,0.000338369
2017,Michigan State,Iowa,(-22 | -20],0,0
2017,Michigan State,Iowa,(-20 | -18],0,0
2017,Michigan State,Iowa,(-18 | -16],0,0
2017,Michigan State,Iowa,(-16 | -14],0,0
2017,Michigan State,Iowa,(-14 | -12],0,0
